director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
"Akiva Schaffer, Jorma Taccone",Akiva Schaffer,Jorma Taccone (directors); Andy Samberg,Jorma Taccone,Comedy Music,popstar: never stop never stopping,"Akiva Schaffer Jorma Taccone (directors); Andy Samberg Jorma Taccone Akiva Schaffer, Jorma Taccone Comedy Music"
James Wan,James Wan (director); Vera Farmiga,Patrick Wilson,Frances O'Connor,Horror Mystery Thriller,the conjuring 2,James Wan (director); Vera Farmiga Patrick Wilson Frances O'Connor James Wan Horror Mystery Thriller
Duncan Jones,Travis Fimmel,Paula Patton,Ben Foster,Action Adventure Fantasy,warcraft,Travis Fimmel Paula Patton Ben Foster Duncan Jones Action Adventure Fantasy
Jon M. Chu,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Thriller Action Comedy,now you see me 2,Jesse Eisenberg Mark Ruffalo Woody Harrelson Jon M. Chu Thriller Action Comedy
Andrew Stanton,Andrew Stanton (director); Ellen DeGeneres,Albert Brooks,Hayden Rolence,Adventure Animation Comedy Family,finding dory,Andrew Stanton (director); Ellen DeGeneres Albert Brooks Hayden Rolence Andrew Stanton Adventure Animation Comedy Family
Rawson Marshall Thurber,Rawson Marshall Thurber (director); Dwayne Johnson,Kevin Hart,unknown,Action Comedy Mystery Crime,central intelligence,Rawson Marshall Thurber (director); Dwayne Johnson Kevin Hart unknown Rawson Marshall Thurber Action Comedy Mystery Crime
Roland Emmerich,Roland Emmerich (director); Liam Hemsworth,Jeff Goldblum,Bill Pullman,Action Adventure Science Fiction,independence day: resurgence,Roland Emmerich (director); Liam Hemsworth Jeff Goldblum Bill Pullman Roland Emmerich Action Adventure Science Fiction
Jaume Collet-Serra,Jaume Collet-Serra (director); Blake Lively,unknown,unknown,Horror Drama Thriller,the shallows,Jaume Collet-Serra (director); Blake Lively unknown unknown Jaume Collet-Serra Horror Drama Thriller
Gary Ross,Gary Ross (director); Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Action Drama History War,free state of jones,Gary Ross (director); Matthew McConaughey Gugu Mbatha-Raw Mahershala Ali Gary Ross Action Drama History War
"Nicolas Winding Refn (director/story); Elle Fanning, Karl Glusman, Jena Malone",Nicolas Winding Refn (director/story); Elle Fanning,Karl Glusman,Jena Malone,Thriller Horror,the neon demon,"Nicolas Winding Refn (director/story); Elle Fanning Karl Glusman Jena Malone Nicolas Winding Refn (director/story); Elle Fanning, Karl Glusman, Jena Malone Thriller Horror"
